Rank,Network,Network Type,Network Category,Program,Program/Genre Type,Episode Title,New/Live,Premiere/Finale,Date,Day Part,Unique Authors,Unique Authors Share,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Unique Authors
114,SPIKETV,Cable,-,iMPACT Wrestling,Series,,New,-,12/19/13,Primetime,"3,309",0.39%,869,"10,549",0.61%,3.19
115,COMEDY,Cable,-,South Park,Comedy Series,Tom's Rhinoplasty,-,-,12/19/13,Morning,"3,218",0.38%,596,"3,553",0.21%,1.10
116,FNC,Cable,News,The Kelly File,Talk & News,,New,-,12/19/13,Primetime,"3,134",0.37%,"1,088","4,687",0.27%,1.50
117,E,Cable,-,E! News,Talk & News,,New,-,12/19/13,Early Fringe,"3,131",0.37%,740,"3,884",0.22%,1.24
118,WGNAMER,Cable,-,How I Met Your Mother,Comedy Series,Everything Must Go,-,-,12/19/13,Primetime,"3,117",0.37%,444,"3,498",0.20%,1.12
119,WE,Cable,-,Braxton Family Values,Reality Series,Rumor Has It,-,-,12/19/13,Daytime,"3,110",0.37%,"1,042","8,118",0.47%,2.61
120,E,Cable,-,Sex and the City,Comedy Series,Belles of the Balls,-,-,12/19/13,Daytime,"3,044",0.36%,454,"3,307",0.19%,1.09
121,COMEDY,Cable,-,South Park,Comedy Series,Roger Ebert Should Lay Off the Fatty Foods,-,-,12/19/13,Morning,"3,020",0.36%,604,"3,323",0.19%,1.10
122,NBATV,Cable,Sports,Inside the NBA,Sports non-event,,New,-,12/19/13,Overnight,"2,934",0.35%,764,"3,896",0.23%,1.33
123,COMEDY,Cable,-,The Daily Show With Jon Stewart,Talk & News Comedy Series,Jonah Hill,New,-,12/19/13,Late Fringe,"2,875",0.34%,806,"3,527",0.20%,1.23
124,E,Cable,-,Sex and the City,Comedy Series,Coulda Woulda Shoulda,-,-,12/19/13,Daytime,"2,855",0.34%,461,"3,104",0.18%,1.09
125,E,Cable,-,Sex and the City,Comedy Series,Just Say Yes,-,-,12/19/13,Daytime,"2,776",0.33%,475,"3,021",0.17%,1.09
126,E,Cable,-,Sex and the City,Comedy Series,The Good Fight,-,-,12/19/13,Daytime,"2,768",0.33%,471,"3,016",0.17%,1.09
127,ESPN2,Cable,Sports,Mike & Mike,Talk & News,,New/Live,-,12/19/13,Early Morning,"2,619",0.31%,254,"3,185",0.18%,1.22
128,LIFE,Cable,-,Grey's Anatomy,Drama Series,Thanks for the Memories,-,-,12/19/13,Daytime,"2,572",0.30%,472,"2,979",0.17%,1.16
129,HBOC,Cable,Premium,Pitch Perfect,Movies,,-,-,12/19/13,Primetime,"2,558",0.30%,529,"2,748",0.16%,1.07
130,OXYGEN,Cable,-,Glee,Comedy Series,Extraordinary Merry Christmas,-,-,12/19/13,Morning,"2,537",0.30%,940,"3,561",0.21%,1.40
131,SOAP,Cable,-,One Tree Hill,Drama Series,Spirit in the Night,-,-,12/19/13,Daytime,"2,515",0.30%,453,"2,828",0.16%,1.12
132,ABC,Broadcast,-,Katie,Talk & News,Keeping the Faith,New,-,12/19/13,Daytime,"2,490",0.29%,"1,512","3,017",0.17%,1.21
133,MYNETTV,Broadcast,-,Law & Order: Special Victims Unit,Drama Series,Hysteria,-,-,12/19/13,Primetime,"2,487",0.29%,645,"2,852",0.17%,1.15
134,LIFE,Cable,-,Grey's Anatomy,Drama Series,Let It Be,-,-,12/19/13,Daytime,"2,414",0.28%,475,"2,783",0.16%,1.15
135,CW,Broadcast,-,Maury,Talk & News,Is My Fiance or My Best Friend Lying? Test Them Both!,-,-,12/19/13,Daytime,"2,403",0.28%,777,"2,701",0.16%,1.12
136,FOX,Broadcast,-,Maury,Talk & News,Is My Fiance Cheating With My Sister and Co-worker?,New,-,12/19/13,Daytime,"2,392",0.28%,795,"2,670",0.15%,1.12
137,SOAP,Cable,-,One Tree Hill,Drama Series,The First Cut Is the Deepest,-,-,12/19/13,Daytime,"2,368",0.28%,452,"2,653",0.15%,1.12
138,MTV,Cable,-,Girl Code,Comedy Series,,-,-,12/19/13,Late Fringe,"2,350",0.28%,455,"2,678",0.15%,1.14
139,ABC,Broadcast,-,Good Morning America,Talk & News,,New,-,12/19/13,Early Morning,"2,343",0.28%,883,"3,128",0.18%,1.34
140,ABC,Broadcast,-,The Year,Special Programs,,New,-,12/19/13,Primetime,"2,330",0.27%,925,"3,132",0.18%,1.34
141,CW,Broadcast,-,How I Met Your Mother,Comedy Series,Happily Ever After,-,-,12/19/13,Primetime,"2,322",0.27%,450,"2,599",0.15%,1.12
142,CBS,Broadcast,-,Dr. Phil,Talk & News,Obsessed and Over It,New,-,12/19/13,Daytime,"2,312",0.27%,"1,131","3,092",0.18%,1.34
143,NBC,Broadcast,-,Dr. Phil,Talk & News,Obsessed and Over It,New,-,12/19/13,Daytime,"2,312",0.27%,"1,131","3,092",0.18%,1.34
144,CBS,Broadcast,-,The Big Bang Theory,Comedy Series,The Deception Verification,-,-,12/19/13,Primetime,"2,272",0.27%,527,"2,881",0.17%,1.27
145,OWN,Cable,-,Dr. Phil,Talk & News,,-,-,12/19/13,Daytime,"2,245",0.26%,"1,121","2,983",0.17%,1.33
146,FXX,Cable,-,How I Met Your Mother,Comedy Series,Three Days of Snow,-,-,12/19/13,Late Fringe,"2,231",0.26%,451,"2,498",0.14%,1.12
147,MYNETTV,Broadcast,-,Maury,Talk & News,Is My Fiance Cheating With My Sister and Co-worker?,New,-,12/19/13,Early Fringe,"2,227",0.26%,792,"2,497",0.14%,1.12
148,FOX,Broadcast,-,TMZ,Talk & News,,New,-,12/19/13,Early Fringe,"2,218",0.26%,948,"2,852",0.17%,1.29
149,MTV,Cable,-,Girl Code,Comedy Series,,-,-,12/19/13,Overnight,"2,215",0.26%,469,"2,524",0.15%,1.14
150,TBS,Cable,-,The Big Bang Theory,Comedy Series,The Good Guy Fluctuation,-,-,12/19/13,Primetime,"2,211",0.26%,509,"2,817",0.16%,1.27
151,USA,Cable,-,White Collar,Drama Series,No Good Deed,New,-,12/19/13,Primetime,"2,198",0.26%,652,"4,021",0.23%,1.83
152,ABCF,Cable,-,Mary Poppins,Movies,,-,-,12/19/13,Morning,"2,168",0.26%,624,"2,412",0.14%,1.11
153,NBC,Broadcast,-,Katie,Talk & News,Keeping the Faith,New,-,12/19/13,Daytime,"2,163",0.25%,"1,487","2,604",0.15%,1.20
154,SOAP,Cable,-,One Tree Hill,Drama Series,Suddenly Everything Has Changed,-,-,12/19/13,Daytime,"2,162",0.25%,458,"2,400",0.14%,1.11
155,TBS,Cable,-,The Big Bang Theory,Comedy Series,The Isolation Permutation,-,-,12/19/13,Primetime,"2,153",0.25%,495,"2,758",0.16%,1.28
156,FOX,Broadcast,-,The Big Bang Theory,Comedy Series,The Peanut Reaction,-,-,12/19/13,Early Fringe,"2,145",0.25%,536,"2,675",0.15%,1.25
157,E,Cable,-,Sex and the City,Movies,,-,-,12/19/13,Daytime,"2,108",0.25%,452,"2,269",0.13%,1.08
158,CW,Broadcast,-,The Big Bang Theory,Comedy Series,The Peanut Reaction,-,-,12/19/13,Early Fringe,"2,074",0.24%,530,"2,594",0.15%,1.25
159,MTV,Cable,-,Girl Code,Comedy Series,,-,-,12/19/13,Morning,"2,061",0.24%,473,"2,355",0.14%,1.14
160,CW,Broadcast,-,The Big Bang Theory,Comedy Series,The Shiny Trinket Maneuver,-,-,12/19/13,Early Fringe,"2,059",0.24%,536,"2,572",0.15%,1.25
161,FOX,Broadcast,-,Family Guy,Comedy Series,A Picture Is Worth 1000 Bucks,-,-,12/19/13,Late Fringe,"2,057",0.24%,717,"2,208",0.13%,1.07
162,CBS,Broadcast,-,The Young and the Restless,Drama Series,,New,-,12/19/13,Daytime,"2,056",0.24%,665,"9,787",0.57%,4.76
163,ABC,Broadcast,-,Dr. Phil,Talk & News,Obsessed and Over It,New,-,12/19/13,Daytime,"2,052",0.24%,"1,128","2,783",0.16%,1.36
164,ABC,Broadcast,-,General Hospital,Drama Series,,New,-,12/19/13,Daytime,"2,049",0.24%,597,"6,271",0.36%,3.06
165,KDOC,Broadcast,-,Law & Order: Special Victims Unit,Drama Series,Hysteria,-,-,12/19/13,Primetime,"2,049",0.24%,666,"2,357",0.14%,1.15
166,FOX,Broadcast,-,The Big Bang Theory,Comedy Series,The Shiny Trinket Maneuver,-,-,12/19/13,Early Fringe,"2,042",0.24%,540,"2,548",0.15%,1.25
167,NIK,Cable,-,Friends,Comedy Series,The One With Phoebe's Dad,-,-,12/19/13,Late Fringe,"2,021",0.24%,395,"2,134",0.12%,1.06
168,FXX,Cable,-,How I Met Your Mother,Comedy Series,The Possimpible,-,-,12/19/13,Late Fringe,"2,003",0.24%,446,"2,236",0.13%,1.12
169,TBS,Cable,-,The Big Bang Theory,Comedy Series,The Ornithophobia Diffusion,-,-,12/19/13,Primetime,"1,979",0.23%,478,"2,561",0.15%,1.29
170,NIK,Cable,-,Friends,Comedy Series,The One With Princess Consuela,-,-,12/19/13,Late Fringe,"1,968",0.23%,394,"2,079",0.12%,1.06
171,ESPNEWS,Cable,Sports,SportsNation,Talk & News,,-,-,12/19/13,Early Morning,"1,957",0.23%,388,"2,088",0.12%,1.07
172,ESPNEWS,Cable,Sports,Mike & Mike,Talk & News,,-,-,12/19/13,Morning,"1,941",0.23%,273,"2,287",0.13%,1.18
173,TRUTV,Cable,-,Impractical Jokers,Comedy Series Reality Series,All The Wrong Moves,New,-,12/19/13,Primetime,"1,934",0.23%,445,"2,297",0.13%,1.19
174,NIK,Cable,-,Friends,Comedy Series,The One Where Estelle Dies,-,-,12/19/13,Late Fringe,"1,925",0.23%,395,"2,032",0.12%,1.06
175,MYNETTV,Broadcast,-,The Big Bang Theory,Comedy Series,The Shiny Trinket Maneuver,-,-,12/19/13,Primetime,"1,921",0.23%,509,"2,377",0.14%,1.24
176,OXYGEN,Cable,-,Glee,Comedy Series,Special Education,-,-,12/19/13,Early Morning,"1,918",0.23%,869,"2,621",0.15%,1.37
