Rank,Network,Network Type,Network Category,Program,Program/Genre Type,Episode Title,New/Live,Premiere/Finale,Date,Day Part,Unique Authors,Unique Authors Share,Followers/Unique Authors,Tweets,Tweets Share,Tweets/Unique Authors,
65,SPIKETV,Cable,-,Cops,"Reality Series, Docs & Special Interests",Home Assaults,-,-,12/19/13,Primetime,"1,195",0.14%,502,"1,243",0.07%,1.04,
66,SPIKETV,Cable,-,Cops,"Reality Series, Docs & Special Interests",Dangerous Arrests,-,-,12/19/13,Primetime,"1,173",0.14%,503,"1,219",0.07%,1.04,
67,MTV,Cable,-,Catfish: The TV Show,"Reality Series, Docs & Special Interests",Cassie & Steve,-,-,12/19/13,Primetime,"1,168",0.14%,688,"1,260",0.07%,1.08,
68,MSNBC,Cable,News,All In With Chris Hayes,Talk & News,,New,-,12/19/13,Primetime,"1,092",0.13%,"1,578","2,570",0.15%,2.35,
69,COMEDY,Cable,-,Tosh.0,Comedy Series,,-,-,12/19/13,Primetime,"1,080",0.13%,555,"1,191",0.07%,1.10,
70,BRAVO,Cable,-,Courtney Loves Dallas,Reality Series,Courtney Loves NYC,New,-,12/19/13,Primetime,"1,075",0.13%,701,"1,549",0.09%,1.44,
71,TLC,Cable,-,Gypsy Sisters,Reality Series,The Blame Game,-,-,12/19/13,Primetime,"1,041",0.12%,435,"1,257",0.07%,1.21,
72,COMEDY,Cable,-,Tosh.0,Comedy Series,,-,-,12/19/13,Primetime,"1,040",0.12%,544,"1,146",0.07%,1.10,
73,STZK,Cable,Premium,The Vow,Movies,,-,-,12/19/13,Primetime,"1,035",0.12%,418,"1,109",0.06%,1.07,
74,TVGN,Cable,-,Survivor,Reality Series,,New,-,12/19/13,Primetime,"1,034",0.12%,735,"1,506",0.09%,1.46,
75,TLC,Cable,-,Gypsy Sisters,Reality Series,Making Up is Hard to Do,New,-,12/19/13,Primetime,"1,024",0.12%,438,"1,243",0.07%,1.21,
76,LRW,Cable,-,Project Runway,Reality Series,Tim Gunn: Behind the Seams of Season 9,-,-,12/19/13,Primetime,"1,006",0.12%,861,"1,235",0.07%,1.23,
77,BRAVO,Cable,-,The Millionaire Matchmaker,Reality Series,Courtney and the Peacock,New,-,12/19/13,Primetime,968,0.11%,"1,132","1,338",0.08%,1.38,
78,FNC,Cable,News,The O'Reilly Factor,Talk & News,,New,-,12/19/13,Primetime,956,0.11%,977,"1,357",0.08%,1.42,
79,CNN,Cable,News,Anderson Cooper 360,Talk & News,,New,-,12/19/13,Primetime,944,0.11%,753,"1,377",0.08%,1.46,
80,CSS,Cable,Sports,College Basketball,Sports Events,Florida Gulf Coast at Mississippi State,New/Live,-,12/19/13,Primetime,903,0.11%,"1,382","1,356",0.08%,1.50,
81,NIK,Cable,-,Full House,Comedy Series,Viva Las Joey,-,-,12/19/13,Primetime,897,0.11%,524,948,0.05%,1.06,
82,NIK,Cable,-,Full House,Comedy Series,Shape Up,-,-,12/19/13,Primetime,896,0.11%,524,947,0.05%,1.06,
83,NIK,Cable,-,Full House,Comedy Series,One Last Kiss,-,-,12/19/13,Primetime,887,0.10%,527,937,0.05%,1.06,
84,MSNBC,Cable,News,The Rachel Maddow Show,Talk & News,,New,-,12/19/13,Primetime,887,0.10%,"1,877","1,895",0.11%,2.14,
85,NIK,Cable,-,Full House,Comedy Series,Terror in Tanner Town,-,-,12/19/13,Primetime,874,0.10%,528,923,0.05%,1.06,
86,CNNI,Cable,News,Anderson Cooper 360,Talk & News,,-,-,12/19/13,Primetime,812,0.10%,703,"1,202",0.07%,1.48,
87,CSNCH,Cable,Sports,College Basketball,Sports Events,Florida Gulf Coast at Mississippi State,New/Live,-,12/19/13,Primetime,804,0.09%,"1,459","1,248",0.07%,1.55,
88,COMEDY,Cable,-,Chappelle's Show,Comedy Series,,-,-,12/19/13,Primetime,729,0.09%,537,801,0.05%,1.10,
89,FUSE,Cable,-,House Party 2,Movies,,-,-,12/19/13,Primetime,721,0.08%,843,792,0.05%,1.10,
90,ADSM,Cable,-,Regular Show,"Comedy Series, Children & Family",In the House,-,-,12/19/13,Primetime,707,0.08%,623,759,0.04%,1.07,
91,ADSM,Cable,-,Regular Show,"Comedy Series, Children & Family",Really Real Wrestling,-,-,12/19/13,Primetime,705,0.08%,619,757,0.04%,1.07,
92,BRAVO,Cable,-,The Millionaire Matchmaker,Reality Series,The Know-It-All; Bigger Better Berman,-,-,12/19/13,Primetime,665,0.08%,970,782,0.05%,1.18,
93,MSNBC,Cable,News,The Last Word With Lawrence O'Donnell,Talk & News,,New,-,12/19/13,Primetime,630,0.07%,988,"1,170",0.07%,1.86,
94,SYFY,Cable,-,Batman Begins,Movies,,-,-,12/19/13,Primetime,599,0.07%,412,662,0.04%,1.11,
95,UNI,Broadcast,Hispanic,Lo Que la Vida Me Robó,Drama Series,,New,-,12/19/13,Primetime,598,0.07%,658,"1,158",0.07%,1.94,
96,NFLNET,Cable,Sports,A Football Life,Series,LaDainian Tomlinson,-,-,12/19/13,Primetime,566,0.07%,465,614,0.04%,1.08,
97,NFLNET,Cable,Sports,A Football Life,Series,Derrick Thomas,-,-,12/19/13,Primetime,550,0.06%,477,594,0.03%,1.08,
98,MYNETTV,Broadcast,-,The Simpsons,Comedy Series,A Test Before Trying,-,-,12/19/13,Primetime,549,0.06%,842,571,0.03%,1.04,
99,ESPNCL,Cable,Sports,Friday Night Lights,Drama Series,Bad Ideas,-,-,12/19/13,Primetime,538,0.06%,433,579,0.03%,1.08,
100,ESPNCL,Cable,Sports,Friday Night Lights,Drama Series,Last Days of Summer,-,-,12/19/13,Primetime,525,0.06%,430,560,0.03%,1.07,
101,DXD,Cable,-,The Suite Life of Zack & Cody,"Comedy Series, Children & Family",Miniature Golf,-,-,12/19/13,Primetime,500,0.06%,579,514,0.03%,1.03,
102,DXD,Cable,-,The Suite Life of Zack & Cody,"Comedy Series, Children & Family",Health & Fitness,-,-,12/19/13,Primetime,485,0.06%,581,498,0.03%,1.03,
103,BET,Cable,-,Real Husbands of Hollywood,"Comedy Series, Reality Series",Scattered Showers,-,-,12/19/13,Primetime,483,0.06%,845,515,0.03%,1.07,
104,BET,Cable,-,Real Husbands of Hollywood,"Comedy Series, Reality Series",Doing the Bump,-,-,12/19/13,Primetime,478,0.06%,845,510,0.03%,1.07,
105,GAC,Cable,-,Farm Kings,Reality Series,King Calendar,-,-,12/19/13,Primetime,470,0.06%,541,854,0.05%,1.82,
106,CW,Broadcast,-,Reign,Drama Series,Pilot,-,-,12/19/13,Primetime,469,0.06%,677,871,0.05%,1.86,
107,STZK,Cable,Premium,Friday Night Lights,Movies,,-,-,12/19/13,Primetime,468,0.06%,435,487,0.03%,1.04,
108,GAC,Cable,-,Farm Kings,Reality Series,King's Fair Share,New,Premiere,12/19/13,Primetime,459,0.05%,545,841,0.05%,1.83,
109,DXD,Cable,-,The Suite Life of Zack & Cody,"Comedy Series, Children & Family",Back in the Game,-,-,12/19/13,Primetime,454,0.05%,567,467,0.03%,1.03,
110,TELE,Broadcast,Hispanic,Santa Diabla,Drama Series,,New,-,12/19/13,Primetime,451,0.05%,972,918,0.05%,2.04,
111,ESPNU,Cable,Sports,SEC Storied,Special Programs,Herschel Walker,New,-,12/19/13,Primetime,447,0.05%,576,479,0.03%,1.07,
112,CBS,Broadcast,-,Two and a Half Men,Comedy Series,Bazinga! That's From a TV Show,-,-,12/19/13,Primetime,423,0.05%,787,444,0.03%,1.05,
113,SHOW,Cable,Premium,Sinister,Movies,,-,-,12/19/13,Primetime,415,0.05%,666,440,0.03%,1.06,
114,LOGO,Cable,-,American Psycho,Movies,,-,-,12/19/13,Primetime,393,0.05%,672,432,0.02%,1.10,
115,MTV,Cable,-,The Challenge: Rivals II,Reality Series,The Island of Misfit Challengers,-,-,12/19/13,Primetime,392,0.05%,521,416,0.02%,1.06,
116,HLN,Cable,-,Nancy Grace,Talk & News,,New,-,12/19/13,Primetime,380,0.04%,608,531,0.03%,1.40,
117,CW,Broadcast,-,Two and a Half Men,Comedy Series,Zejdz Zmoich Wlosow (Get Off My Hair),-,-,12/19/13,Primetime,375,0.04%,824,396,0.02%,1.06,
118,SOAP,Cable,-,Days of our Lives,Drama Series,,-,-,12/19/13,Primetime,370,0.04%,514,825,0.05%,2.23,
119,CW,Broadcast,-,Two and a Half Men,Comedy Series,Oh Look! Al-Qaeda!,-,-,12/19/13,Primetime,365,0.04%,831,386,0.02%,1.06,
120,FX,Cable,-,Anger Management,Comedy Series,Charlie and the Christmas Hooker,New,-,12/19/13,Primetime,364,0.04%,617,490,0.03%,1.35,
121,CBS,Broadcast,-,The Crazy Ones,Comedy Series,She's So European,-,-,12/19/13,Primetime,354,0.04%,610,403,0.02%,1.14,
122,MYNETTV,Broadcast,-,Two and a Half Men,Comedy Series,Oh Look! Al-Qaeda!,-,-,12/19/13,Primetime,351,0.04%,850,371,0.02%,1.06,
123,SUNDANC,Cable,-,The Returned,"Drama Series, Sci-Fi Series",La Horde,New,-,12/19/13,Primetime,350,0.04%,615,536,0.03%,1.53,
124,E,Cable,-,Keeping Up With the Kardashians,"Reality Series, Docs & Special Interests",Greece Is the Word,-,-,12/19/13,Primetime,341,0.04%,538,374,0.02%,1.10,
125,FOOD,Cable,-,Chopped,"Reality Series, Docs & Special Interests",Keep on Trucking,-,-,12/19/13,Primetime,332,0.04%,581,362,0.02%,1.09,
126,FOOD,Cable,-,Chopped,"Reality Series, Docs & Special Interests",Wasted!,-,-,12/19/13,Primetime,330,0.04%,584,360,0.02%,1.09,
127,E,Cable,-,Keeping Up With the Kardashians,"Reality Series, Docs & Special Interests",Greece Him Up,-,-,12/19/13,Primetime,317,0.04%,556,351,0.02%,1.11,
128,DSC,Cable,-,Fast N' Loud,"Reality Series, Docs & Special Interests","Shelby Rent-A-Racer Resto, Part 2",-,-,12/19/13,Primetime,311,0.04%,418,389,0.02%,1.25,
129,ADSM,Cable,-,The Cleveland Show,Comedy Series,Die Semi-Hard,-,-,12/19/13,Primetime,300,0.04%,593,312,0.02%,1.04,
130,GALA,Cable,Hispanic,El Chavo,Comedy Series,,-,-,12/19/13,Primetime,298,0.04%,536,307,0.02%,1.03,
131,DSC,Cable,-,Fast N' Loud,"Reality Series, Docs & Special Interests","Gas Monkey Bandit Car, Part 1",-,-,12/19/13,Primetime,287,0.03%,446,353,0.02%,1.23,
132,DSC,Cable,-,Fast N' Loud,"Reality Series, Docs & Special Interests","Gas Monkey Bandit Car, Part 2",-,-,12/19/13,Primetime,270,0.03%,468,333,0.02%,1.23,
133,NGC,Cable,-,"Drugs, Inc.",Docs & Special Interests,Zombie Island,-,-,12/19/13,Primetime,269,0.03%,522,284,0.02%,1.06,
134,COMEDY,Cable,-,It's Always Sunny in Philadelphia,Comedy Series,"Mac & Charlie Die, Part 1",-,-,12/19/13,Primetime,265,0.03%,550,289,0.02%,1.09,
135,COMEDY,Cable,-,It's Always Sunny in Philadelphia,Comedy Series,"Mac & Charlie Die, Part 2",-,-,12/19/13,Primetime,256,0.03%,559,281,0.02%,1.10,
136,CW,Broadcast,-,Community,Comedy Series,Asian Population Studies,-,-,12/19/13,Primetime,255,0.03%,"2,686",404,0.02%,1.58,
137,CBS,Broadcast,-,Elementary,"Drama Series, Docs & Special Interests",A Landmark Story,-,-,12/19/13,Primetime,255,0.03%,828,314,0.02%,1.23,
138,TRUTV,Cable,-,Panic Button,Reality Series,Dontee's Inferno,New,-,12/19/13,Primetime,255,0.03%,726,463,0.03%,1.82,
139,TELE,Broadcast,Hispanic,Marido en Alquiler,Drama Series,,New,-,12/19/13,Primetime,251,0.03%,"1,003",817,0.05%,3.25,
140,FCSP,Cable,Sports,College Basketball,Sports Events,Grambling State at Texas Christian,New/Live,-,12/19/13,Primetime,250,0.03%,"1,033",331,0.02%,1.32,
141,CW,Broadcast,-,Community,Comedy Series,Environmental Science,-,-,12/19/13,Primetime,242,0.03%,"2,753",393,0.02%,1.62,
142,NIK,Cable,-,SpongeBob SquarePants,"Comedy Series, Sci-Fi Series, Children & Family",The Paper,-,-,12/19/13,Primetime,242,0.03%,495,265,0.02%,1.10,
143,E,Cable,-,Party On,"Reality Series, Docs & Special Interests",St. Tropez,New,-,12/19/13,Primetime,240,0.03%,723,313,0.02%,1.30,
144,HBO,Cable,Premium,Ja'mie: Private School Girl,Comedy Series,Episode 4,-,-,12/19/13,Primetime,240,0.03%,480,263,0.02%,1.10,
145,DISN,Cable,-,Austin & Ally,"Comedy Series, Children & Family",Mix Ups & Mistletoe,-,-,12/19/13,Primetime,237,0.03%,873,323,0.02%,1.36,
146,TNCK,Cable,-,Big Time Rush,"Comedy Series, Children & Family",Green Time Rush,-,-,12/19/13,Primetime,236,0.03%,"1,737",303,0.02%,1.28,
147,TCM,Cable,-,A Christmas Carol,Movies,,-,-,12/19/13,Primetime,227,0.03%,955,332,0.02%,1.46,
148,HBOSIG,Cable,Premium,The Sopranos,Drama Series,Guy Walks Into a Psychiatrist's Office,-,-,12/19/13,Primetime,214,0.03%,682,238,0.01%,1.11,
149,TNCK,Cable,-,Big Time Rush,"Comedy Series, Children & Family",Big Time Wedding,-,-,12/19/13,Primetime,214,0.03%,"1,753",273,0.02%,1.28,
150,CNN,Cable,News,CNN Special Report: Extraordinary People,Special Programs,,New,-,12/19/13,Primetime,210,0.02%,603,231,0.01%,1.10,
151,DISN,Cable,-,Austin & Ally,"Comedy Series, Children & Family",Deejays & Demos,-,-,12/19/13,Primetime,205,0.02%,954,291,0.02%,1.42,
152,TRAV,Cable,-,Bizarre Foods With Andrew Zimmern,"Reality Series, Docs & Special Interests",Cambodia,-,-,12/19/13,Primetime,204,0.02%,784,225,0.01%,1.10,
153,UNI,Broadcast,Hispanic,Mentir Para Vivir,Drama Series,,New,-,12/19/13,Primetime,203,0.02%,902,328,0.02%,1.62,
154,TELE,Broadcast,Hispanic,La Reina del Sur,Drama Series,,New,-,12/19/13,Primetime,201,0.02%,526,225,0.01%,1.12,
155,OXYGEN,Cable,-,Catwoman,Movies,,-,-,12/19/13,Primetime,197,0.02%,615,207,0.01%,1.05,
156,E,Cable,-,Party On,"Reality Series, Docs & Special Interests",Hvar,-,-,12/19/13,Primetime,191,0.02%,726,231,0.01%,1.21,
157,MYNETTV,Broadcast,-,House,Drama Series,Locked In,-,-,12/19/13,Primetime,190,0.02%,527,206,0.01%,1.08,
158,NIKTON,Cable,-,The Fairly OddParents,"Comedy Series, Children & Family",Chin Up; Dog's Day Afternoon,-,-,12/19/13,Primetime,185,0.02%,751,192,0.01%,1.04,
159,NIKTON,Cable,-,The Fairly OddParents,"Comedy Series, Children & Family",A Wish Too Far; Tiny Timmy,-,-,12/19/13,Primetime,185,0.02%,665,192,0.01%,1.04,
160,CBS,Broadcast,-,The Millers,Comedy Series,The Phone Upgrade,-,-,12/19/13,Primetime,182,0.02%,871,190,0.01%,1.04,
161,NIKTON,Cable,-,The Fairly OddParents,"Comedy Series, Children & Family",Totally Spaced Out; The Switch Glitch,-,-,12/19/13,Primetime,181,0.02%,704,188,0.01%,1.04,
162,MYNETTV,Broadcast,-,House,Drama Series,Simple Explanation,-,-,12/19/13,Primetime,180,0.02%,558,194,0.01%,1.08,
163,GSN,Cable,-,Family Feud,Series,,-,-,12/19/13,Primetime,176,0.02%,959,185,0.01%,1.05,
164,ADSM,Cable,-,American Dad,Comedy Series,Faking Bad,-,-,12/19/13,Primetime,174,0.02%,549,183,0.01%,1.05,
165,NIKTON,Cable,-,The Fairly OddParents,"Comedy Series, Children & Family",Knighty Knight; Mighty Mom and Dyno Dad,-,-,12/19/13,Primetime,172,0.02%,620,179,0.01%,1.04,
166,MTV2,Cable,-,Ain't That America,Comedy Series,Weddings & Bromance in America,-,-,12/19/13,Primetime,160,0.02%,649,168,0.01%,1.05,
167,MTV2,Cable,-,Ain't That America,Comedy Series,Justice & Style in America,-,-,12/19/13,Primetime,160,0.02%,649,168,0.01%,1.05,
168,MTV2,Cable,-,Ain't That America,Comedy Series,Parenting & Hidden Talents in America,-,-,12/19/13,Primetime,159,0.02%,652,167,0.01%,1.05,
169,MTV2,Cable,-,Ain't That America,Comedy Series,Working & Vacations in America,-,-,12/19/13,Primetime,159,0.02%,651,167,0.01%,1.05,
170,MTV2,Cable,-,Ain't That America,Comedy Series,Food & Fitness in America,-,-,12/19/13,Primetime,158,0.02%,651,166,0.01%,1.05,
171,APL,Cable,-,North Woods Law,"Reality Series, Docs & Special Interests",Lost and Found,-,-,12/19/13,Primetime,158,0.02%,694,209,0.01%,1.32,
172,FXX,Cable,-,Wanted,Movies,,-,-,12/19/13,Primetime,158,0.02%,508,161,0.01%,1.02,
173,OXYGEN,Cable,-,Last Holiday,Movies,,-,-,12/19/13,Primetime,157,0.02%,574,164,0.01%,1.04,
174,NIKTON,Cable,-,The Fairly OddParents,"Comedy Series, Children & Family",Father Time; Apartnership,-,-,12/19/13,Primetime,157,0.02%,597,164,0.01%,1.04,
175,MTV2,Cable,-,Ain't That America,Comedy Series,Sports & Almost Famous in America,-,-,12/19/13,Primetime,156,0.02%,657,164,0.01%,1.05,
176,NIKTON,Cable,-,The Fairly OddParents,"Comedy Series, Children & Family",Spaced Out; TransParents,-,-,12/19/13,Primetime,156,0.02%,596,163,0.01%,1.04,
177,APL,Cable,-,North Woods Law,"Reality Series, Docs & Special Interests",Uncuffed 2,New,-,12/19/13,Primetime,154,0.02%,708,205,0.01%,1.33,
