	can_rate	image	num_votes	rating	tconst	title	type	year
12	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYThjM2MwZGMtMzg3Ny00NGRkLWE4M2EtYTBiNWMzOTY0YTI4XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 1136, u'height': 1500}	1278619	8.8	tt0109830	Forrest Gump	feature	1994
13	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg', u'width': 700, u'height': 1037}	1497809	8.8	tt1375666	Inception	feature	2010
14	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyNDU0NjY4NTheQTJeQWpwZ15BbWU2MDk4MTY2Nw@@._V1_.jpg', u'width': 350, u'height': 512}	1119980	8.7	tt0167261	The Lord of the Rings: The Two Towers	feature	2002
15	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYmJkODkwOTItZThjZC00MTE0LWIxNzQtYTM3MmQwMGI1OWFiXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg', u'width': 473, u'height': 718}	691604	8.7	tt0073486	One Flew Over the Cuckoo's Nest	feature	1975
16	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2OTE5MzQ3MV5BMl5BanBnXkFtZTgwMTY2NTYxMTE@._V1_.jpg', u'width': 337, u'height': 500}	742328	8.7	tt0099685	Goodfellas	feature	1990
17	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMDMyMmQ5YzgtYWMxOC00OTU0LWIwZjEtZWUwYTY5MjVkZjhhXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 1000, u'height': 1383}	1239742	8.7	tt0133093	The Matrix	feature	1999
18	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1_.jpg', u'width': 1354, u'height': 1900}	233327	8.7	tt0047478	Seven Samurai	feature	1954
19	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZGEzZTExMDEtNjg4OC00NjQxLTk5NTUtNjRkNjA3MmYwZjg1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 728, u'height': 1150}	926910	8.7	tt0076759	Star Wars: Episode IV - A New Hope	feature	1977
20	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4ODQ3ODkzNV5BMl5BanBnXkFtZTYwOTc4NDI3._V1_.jpg', u'width': 400, u'height': 593}	542232	8.7	tt0317248	City of God	feature	2002
21	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNTU3MTE4NF5BMl5BanBnXkFtZTcwOTgxNDM2Mg@@._V1_.jpg', u'width': 326, u'height': 500}	1044652	8.6	tt0114369	Se7en	feature	1995
22	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NzkzMDI4OF5BMl5BanBnXkFtZTcwMDA0NzE1NA@@._V1_.jpg', u'width': 682, u'height': 1023}	906010	8.6	tt0102926	The Silence of the Lambs	feature	1991
23	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzMzY5NDc4M15BMl5BanBnXkFtZTcwMzc4NjIxNw@@._V1_.jpg', u'width': 1372, u'height': 2048}	280617	8.6	tt0038650	It's a Wonderful Life	feature	1946
24	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMzI1MjI5MDQyOV5BMl5BanBnXkFtZTcwNzE4Mjg3NA@@._V1_.jpg', u'width': 682, u'height': 1023}	754453	8.6	tt0114814	The Usual Suspects	feature	1995
25	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1005, u'height': 1500}	430040	8.6	tt0118799	Life Is Beautiful	feature	1997
26	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMzg4MDkwNF5BMl5BanBnXkFtZTcwODAwNDg3OA@@._V1_.jpg', u'width': 350, u'height': 500}	740510	8.6	tt0110413	Léon: The Professional	feature	1994
27	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjYxMDcyMzIzNl5BMl5BanBnXkFtZTYwNDg2MDU3._V1_.jpg', u'width': 450, u'height': 635}	428739	8.6	tt0245429	Spirited Away	feature	2001
28	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 800, u'height': 1177}	899006	8.6	tt0120815	Saving Private Ryan	feature	1998
29	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYjFiOTlmMzgtOGZlYi00NjY0LThmMzEtNmQ0OTgxNGViOTZmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg', u'width': 1755, u'height': 2666}	220168	8.6	tt0064116	Once Upon a Time in the West	feature	1968
30	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 497, u'height': 736}	796496	8.6	tt0120586	American History X	feature	1998
31	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNTU4MzY4MF5BMl5BanBnXkFtZTgwMzM4ODI3MjE@._V1_.jpg', u'width': 1311, u'height': 2048}	959013	8.6	tt0816692	Interstellar	feature	2014
32	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwNDYyNTk2N15BMl5BanBnXkFtZTgwMjQ0OTMyMjE@._V1_.jpg', u'width': 334, u'height': 500}	393827	8.6	tt0034583	Casablanca	feature	1942
33	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMDI3OWRmOTEtOWJhYi00N2JkLTgwNGItMjdkN2U0NjFiZTYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 909, u'height': 1371}	431047	8.5	tt0054215	Psycho	feature	1960
34	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NDQ5MDMzOV5BMl5BanBnXkFtZTgwODY2MjcyMjE@._V1_.jpg', u'width': 320, u'height': 476}	110888	8.6	tt0021749	City Lights	feature	1931
35	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODEzMTc1Nl5BMl5BanBnXkFtZTcwODM2MjAxNA@@._V1_.jpg', u'width': 1021, u'height': 1536}	672092	8.5	tt0082971	Raiders of the Lost Ark	feature	1981
36	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_.jpg', u'width': 500, u'height': 740}	801864	8.5	tt0120689	The Green Mile	feature	1999
37	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_.jpg', u'width': 1382, u'height': 2048}	517589	8.6	tt1675434	The Intouchables	feature	2011
38	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMTkxNjI5OF5BMl5BanBnXkFtZTYwMjI2MjA5._V1_.jpg', u'width': 347, u'height': 475}	146666	8.6	tt0027977	Modern Times	feature	1936
39	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 923, u'height': 1351}	322268	8.5	tt0047396	Rear Window	feature	1954
40	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZDM2YjYwYWMtMWZlNi00ZDQxLWExMDctMDAzNzQ0OTkzZjljXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1689, u'height': 2500}	757819	8.5	tt0103064	Terminator 2: Judgment Day	feature	1991
41	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_.jpg', u'width': 450, u'height': 665}	890230	8.5	tt0407887	The Departed	feature	2006
42	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4OTkyOTA3OF5BMl5BanBnXkFtZTYwMDIxNjk5._V1_.jpg', u'width': 315, u'height': 475}	510005	8.5	tt0253474	The Pianist	feature	2002
43	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1218, u'height': 1893}	747529	8.5	tt0088763	Back to the Future	feature	1985
44	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4OTQ3MDUyMV5BMl5BanBnXkFtZTgwOTA2MjU0MjE@._V1_.jpg', u'width': 509, u'height': 755}	418826	8.5	tt2582802	Whiplash	feature	2014
45	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMzQzNTQ1Ml5BMl5BanBnXkFtZTgwMDY2NTYxMTE@._V1_.jpg', u'width': 930, u'height': 1377}	1000974	8.5	tt0172495	Gladiator	feature	2000
46	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNThiYjM3MzktMDg3Yy00ZWQ3LTk3YWEtN2M0YmNmNWEwYTE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1280, u'height': 1879}	861482	8.5	tt0209144	Memento	feature	2000
47	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYWNjNjZjYmMtOTRjOC00ZGIwLWI2YzEtMjkxNTAzODkzZDRlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg', u'width': 580, u'height': 842}	457947	8.5	tt0078788	Apocalypse Now	feature	1979
48	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_.jpg', u'width': 450, u'height': 667}	862079	8.5	tt0482571	The Prestige	feature	2006
49	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMzgwNTUzMl5BMl5BanBnXkFtZTcwNTMxMzM3Ng@@._V1_.jpg', u'width': 1275, u'height': 1651}	659059	8.5	tt0110357	The Lion King	feature	1994
50	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDNhN2IxZWItNGEwYS00ZDNhLThiM2UtODU3NWJlZjBkYjQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 914, u'height': 1342}	574753	8.5	tt0078748	Alien	feature	1979
51	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTFiM2RlOGUtYjExYy00YjFmLWFjYzgtM2YwNDU1NmEyMzRlXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 1000, u'height': 1500}	348372	8.5	tt0057012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	feature	1964
52	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NDYzODAwNV5BMl5BanBnXkFtZTgwODg1MTczMTE@._V1_.jpg', u'width': 332, u'height': 500}	142138	8.5	tt0043014	Sunset Blvd.	feature	1950
53	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NDAwMDgzOV5BMl5BanBnXkFtZTgwNDI2MjA0MjE@._V1_.jpg', u'width': 338, u'height': 500}	140761	8.5	tt0032553	The Great Dictator	feature	1940
54	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNDUzNjYwNDYyNl5BMl5BanBnXkFtZTcwNjU3ODQ0MQ@@._V1_.jpg', u'width': 450, u'height': 675}	264475	8.5	tt0405094	The Lives of Others	feature	2006
55	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMTgzOTEwOF5BMl5BanBnXkFtZTgwNTUxNjcxMTE@._V1_.jpg', u'width': 337, u'height': 499}	155985	8.5	tt0095765	Cinema Paradiso	feature	1988
56	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTI5Nzc0OTMtYzBkMS00NjkxLThmM2UtNjM2ODgxN2M5NjNkXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_.jpg', u'width': 1045, u'height': 1600}	123431	8.5	tt0050825	Paths of Glory	feature	1957
57	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_.jpg', u'width': 1382, u'height': 2048}	977059	8.5	tt1853728	Django Unchained	feature	2012
58	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODMxMjE3NTA4Ml5BMl5BanBnXkFtZTgwNDc0NTIxMDE@._V1_.jpg', u'width': 1024, u'height': 1500}	622916	8.4	tt0081505	The Shining	feature	1980
59	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyMzUwMTMxMl5BMl5BanBnXkFtZTgwODYyMDk2MjE@._V1_.jpg', u'width': 342, u'height': 500}	142569	8.5	tt0095327	Grave of the Fireflies	feature	1988
60	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_.jpg', u'width': 1382, u'height': 2048}	733813	8.4	tt0910970	WALL·E	feature	2008
61	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_.jpg', u'width': 486, u'height': 720}	1165722	8.5	tt1345836	The Dark Knight Rises	feature	2012
62	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4NTI5NzYyNV5BMl5BanBnXkFtZTgwNTkxNTYxMTE@._V1_.jpg', u'width': 930, u'height': 1377}	836612	8.4	tt0169547	American Beauty	feature	1999
63	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYTU2YjNmN2UtMTkyYS00YTFhLWJkM2QtODNhODE0OGQzMDQ3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg', u'width': 342, u'height': 513}	226887	8.4	tt0119698	Princess Mononoke	feature	1997
64	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTYxZGJkNDUtOWRmMy00M2JjLWJiNjAtNTE0OWU0ODU1MDdiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 914, u'height': 1425}	496453	8.4	tt0090605	Aliens	feature	1986
65	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_.jpg', u'width': 450, u'height': 666}	364025	8.4	tt0364569	Oldboy	feature	2003
66	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg', u'width': 910, u'height': 1422}	225360	8.4	tt0087843	Once Upon a Time in America	feature	1984
67	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mjc1MDQwMl5BMl5BanBnXkFtZTcwNzUyOTUyMg@@._V1_.jpg', u'width': 338, u'height': 500}	302937	8.4	tt0033467	Citizen Kane	feature	1941
68	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5Mzk5OTQ0Nl5BMl5BanBnXkFtZTYwNzUwMTQ5._V1_.jpg', u'width': 297, u'height': 475}	170924	8.4	tt0082096	Das Boot	feature	1981
69	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MjgyNTUyNF5BMl5BanBnXkFtZTcwNDQzMDg0Nw@@._V1_.jpg', u'width': 682, u'height': 1023}	65001	8.4	tt0051201	Witness for the Prosecution	feature	1957
70	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTQ0MzgwNl5BMl5BanBnXkFtZTgwNjc4ODE4MzE@._V1_.jpg', u'width': 1309, u'height': 2048}	223806	8.4	tt0053125	North by Northwest	feature	1959
71	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNzY0NzQyNzQzOF5BMl5BanBnXkFtZTcwMTgwNTk4OQ@@._V1_.jpg', u'width': 333, u'height': 500}	254193	8.4	tt0052357	Vertigo	feature	1958
72	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BODllZjg2YjUtNWEzNy00ZGY2LTgyZmQtYTkxNDYyOWM3OTUyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 908, u'height': 1424}	695985	8.4	tt0086190	Star Wars: Episode VI - Return of the Jedi	feature	1983
73	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNjA5NzU5MV5BMl5BanBnXkFtZTgwMDk1MTA5MTE@._V1_.jpg', u'width': 350, u'height': 500}	100886	8.4	tt0022100	M	feature	1931
74	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNjE5ZDJiZTQtOGE2YS00ZTc5LTk0OGUtOTg2NjdjZmVlYzE2XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_.jpg', u'width': 936, u'height': 1351}	677260	8.4	tt0105236	Reservoir Dogs	feature	1992
75	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNTMyNGE1ODQtYTNiNS00ZTUyLThhZjktMTgyOGZkZThlYTc3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1280, u'height': 1891}	749520	8.4	tt0112573	Braveheart	feature	1995
76	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MjVkMWMtYTQ4ZC00ODczLWFjYmQtMDFkZDQ2Y2M0NDVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1278, u'height': 1900}	544095	8.4	tt0211915	Amélie	feature	2001
77	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzODMzODYwOF5BMl5BanBnXkFtZTcwODM2NjA2NQ@@._V1_.jpg', u'width': 300, u'height': 433}	583640	8.4	tt0180093	Requiem for a Dream	feature	2000
78	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_.jpg', u'width': 878, u'height': 1300}	569068	8.3	tt0066921	A Clockwork Orange	feature	1971
79	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNGQxNDgzZWQtZTNjNi00M2RkLWExZmEtNmE1NjEyZDEwMzA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1889, u'height': 2886}	517482	8.3	tt0075314	Taxi Driver	feature	1976
80	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzOTE4MTIzMV5BMl5BanBnXkFtZTgwODc1NDQ5MDE@._V1_.jpg', u'width': 329, u'height': 500}	99701	8.4	tt0036775	Double Indemnity	feature	1944
81	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_.jpg', u'width': 1920, u'height': 2767}	196279	8.4	tt0056172	Lawrence of Arabia	feature	1962
82	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MzI1NDY2Nl5BMl5BanBnXkFtZTcwMTcyODc5Mw@@._V1_.jpg', u'width': 328, u'height': 500}	219334	8.3	tt0056592	To Kill a Mockingbird	feature	1962
83	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_.jpg', u'width': 1448, u'height': 2048}	555783	8.3	tt0435761	Toy Story 3	feature	2010
84	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_.jpg', u'width': 1382, u'height': 2048}	680184	8.3	tt0338013	Eternal Sunshine of the Spotless Mind	feature	2004
85	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_.jpg', u'width': 475, u'height': 704}	275705	8.3	tt0086879	Amadeus	feature	1984
86	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NzY4ODk4Nl5BMl5BanBnXkFtZTgwOTcxNTYxMTE@._V1_.jpg', u'width': 333, u'height': 500}	494848	8.3	tt0093058	Full Metal Jacket	feature	1987
87	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MjM1OTAyOV5BMl5BanBnXkFtZTgwMDkwODg4MDE@._V1._CR52,57,915,1388_.jpg', u'width': 915, u'height': 1388}	178824	8.3	tt0070735	The Sting	feature	1973
88	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTZkZTBhYmUtMTIzNy00YTViLTg1OWItNGUwMmVlN2FjZTVkXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_.jpg', u'width': 1080, u'height': 1600}	435938	8.3	tt0062622	2001: A Space Odyssey	feature	1968
89	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzMzAyMzg1Nl5BMl5BanBnXkFtZTgwMzMyNzk0MTE@._V1_.jpg', u'width': 2285, u'height': 3300}	96773	8.3	tt0040522	Bicycle Thieves	feature	1948
90	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_.jpg', u'width': 1005, u'height': 1500}	636751	8.3	tt0114709	Toy Story	feature	1995
91	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg', u'width': 1026, u'height': 1500}	611043	8.3	tt0208092	Snatch	feature	2000
92	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMTIyNTI4Nl5BMl5BanBnXkFtZTcwNTk1ODQyMg@@._V1_.jpg', u'width': 324, u'height': 500}	152921	8.3	tt0045152	Singin' in the Rain	feature	1952
93	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg', u'width': 2025, u'height': 3000}	904268	8.3	tt0361748	Inglourious Basterds	feature	2009
94	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BNjE4MWM3MDctOTk2NC00MTUwLTg2OTUtYjg5YWU3MzRmYTg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 1063, u'height': 1500}	69540	8.3	tt0012349	The Kid	feature	1921
95	True	{u'url': u'https://images-na.ssl-images-amazon.com/images/M/MV5BYzgyYzc4Y2QtNDcyZS00NDdmLWI5ZTYtMTQ2YWU5MWFhOTE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg', u'width': 580, u'height': 858}	388393	8.3	tt0071853	Monty Python and the Holy Grail	feature	1975
